tenure_months,monthly_charge,total_charges,support_tickets,late_payments,avg_monthly_usage_gb,has_streaming,has_security_pack,num_products,customer_age,is_promo,contract_type,payment_method,internet_service,region,churn
8,46.53,444.98,1,0,215.34,1,1,4,43,0,mensual,credito,fibra,centro,0
24,74.09,1946.86,3,0,150.95,1,1,2,31,0,bianual,debito,fibra,centro,1
54,77.13,4371.4,2,1,155.05,1,0,4,23,1,bianual,debito,cable,norte,1
64,22.62,1582.46,1,0,150.38,1,0,1,50,1,mensual,debito,fibra,sur,0
29,73.07,1988.18,1,0,198.34,0,0,2,36,1,mensual,debito,movil,sur,1
15,82.51,1061.32,3,1,165.52,1,1,4,51,0,anual,efectivo,cable,sur,0
28,91.08,2543.57,1,1,141.31,0,1,4,62,1,mensual,transferencia,fibra,norte,0
56,39.04,2092.97,1,1,100.91,0,1,4,60,0,mensual,transferencia,cable,oeste,0
8,71.38,507.64,2,1,115.75,1,1,2,71,0,anual,debito,ninguno,centro,0
70,50.9,3550.54,1,0,137.9,0,1,3,50,0,mensual,credito,cable,centro,0
29,62.47,1643.95,2,0,80.68,0,1,2,60,0,mensual,efectivo,cable,norte,0
54,70.56,3864.5,1,0,99.36,1,0,2,26,0,mensual,debito,fibra,norte,0
47,63.11,3078.21,2,0,84.35,0,1,4,57,1,bianual,debito,cable,centro,1
31,79.9,2531.53,2,1,117.84,0,0,2,38,1,mensual,debito,cable,centro,1
12,49.57,690.46,3,5,121.55,1,1,4,73,0,anual,credito,fibra,norte,0
50,51.2,2484.79,4,2,5.0,1,0,1,54,0,bianual,transferencia,fibra,centro,0
61,57.05,3664.29,2,0,128.41,1,1,2,48,0,anual,debito,fibra,oeste,0
10,81.58,776.48,1,2,66.16,1,0,1,43,0,anual,debito,fibra,norte,0
6,43.91,412.76,5,0,60.35,0,1,4,31,0,anual,transferencia,ninguno,centro,0
27,60.49,1544.52,1,0,169.35,0,1,2,53,0,bianual,debito,fibra,centro,0
24,64.27,1622.1,3,0,160.3,1,1,3,59,1,anual,credito,movil,centro,1
1,61.09,139.49,1,0,66.75,1,0,1,32,1,anual,transferencia,ninguno,centro,0
16,40.95,752.61,1,0,115.15,1,0,3,22,1,mensual,credito,fibra,centro,1
65,68.63,4348.17,1,0,90.49,1,0,1,45,1,anual,transferencia,fibra,norte,0
25,31.58,876.92,1,1,96.0,1,1,3,54,0,mensual,debito,movil,sur,1
2,64.98,50.0,2,1,126.86,1,0,1,62,0,mensual,transferencia,movil,norte,0
39,62.52,2464.07,0,1,126.64,1,0,2,54,0,anual,transferencia,fibra,centro,0
17,57.16,937.77,3,1,104.5,1,0,2,20,0,bianual,transferencia,cable,norte,0
39,61.78,2415.47,2,2,187.01,0,1,2,64,0,bianual,credito,cable,centro,0
63,74.57,4594.22,1,2,113.89,1,0,3,52,1,mensual,debito,cable,oeste,1
31,63.63,2006.78,2,0,138.37,1,0,3,51,0,mensual,debito,fibra,sur,0
71,68.52,4820.04,0,1,83.29,0,0,1,75,1,anual,transferencia,movil,sur,0
24,62.73,1539.3,4,1,170.77,1,1,2,44,1,bianual,transferencia,fibra,sur,0
60,67.18,3964.11,1,2,141.84,0,0,4,41,0,mensual,debito,ninguno,oeste,1
32,68.62,2203.57,4,2,125.21,1,1,2,22,0,mensual,debito,movil,centro,1
24,63.77,1457.27,2,0,76.57,1,0,3,38,1,mensual,credito,fibra,centro,0
12,75.25,786.15,0,0,189.12,1,1,1,63,1,anual,debito,fibra,norte,0
52,24.63,1327.65,1,0,192.27,1,0,1,60,0,anual,credito,fibra,norte,0
37,90.76,3295.17,0,2,114.13,1,1,1,39,1,anual,debito,movil,sur,0
66,52.42,3445.38,1,1,166.12,1,0,3,19,0,bianual,credito,cable,sur,0
22,64.86,1587.27,1,2,125.96,1,0,4,32,0,mensual,transferencia,cable,norte,0
53,76.91,4124.73,4,1,126.14,1,1,1,55,0,mensual,transferencia,movil,oeste,1
21,79.41,1582.71,1,0,103.36,0,1,1,30,1,anual,transferencia,fibra,oeste,0
26,84.31,2174.91,2,1,118.15,0,0,3,28,1,mensual,credito,fibra,norte,0
13,63.2,814.89,3,1,81.39,1,1,2,34,0,mensual,credito,movil,centro,1
16,83.06,1475.28,1,1,199.94,0,1,4,57,0,mensual,debito,fibra,centro,1
36,99.21,3560.14,1,0,160.0,1,1,2,43,0,mensual,debito,movil,norte,1
51,76.66,4068.84,2,1,205.05,0,1,3,20,0,mensual,debito,cable,oeste,1
70,29.9,2193.21,0,1,106.61,1,1,1,27,1,anual,credito,cable,sur,0
5,44.32,294.09,0,1,136.64,1,0,3,58,0,mensual,transferencia,fibra,sur,0
12,98.81,1294.79,2,1,110.98,1,0,2,74,1,mensual,transferencia,movil,norte,1
12,67.27,615.45,3,0,85.26,0,0,1,39,1,mensual,debito,fibra,sur,1
59,30.23,1586.56,3,1,151.85,1,0,2,36,0,bianual,transferencia,fibra,oeste,0
11,75.14,759.85,6,2,54.09,0,1,1,30,1,bianual,efectivo,cable,centro,1
11,75.61,811.64,2,2,201.87,1,0,2,47,0,mensual,credito,movil,centro,1
58,59.0,3447.76,2,1,80.61,1,0,4,18,0,mensual,debito,fibra,norte,0
23,46.19,1052.8,0,1,137.89,1,1,1,75,0,mensual,debito,fibra,norte,1
27,63.94,1765.81,3,0,191.68,1,0,3,35,0,mensual,debito,fibra,centro,1
8,80.2,662.51,2,0,67.87,1,0,4,27,1,mensual,debito,cable,oeste,0
72,31.75,2345.61,2,1,131.31,1,1,1,47,0,anual,debito,fibra,norte,0
1,73.03,63.23,4,2,77.77,0,1,1,49,0,mensual,debito,fibra,oeste,1
58,72.4,4174.66,1,1,150.08,0,1,2,55,0,anual,debito,movil,norte,0
64,84.48,5519.08,3,0,173.71,0,1,3,49,0,bianual,transferencia,fibra,sur,0
59,75.26,4504.27,4,1,154.17,1,1,4,63,0,mensual,efectivo,movil,centro,1
50,85.72,4094.09,1,1,147.35,0,1,1,52,1,mensual,transferencia,cable,sur,0
2,49.3,50.0,2,0,113.46,0,1,2,38,1,mensual,debito,cable,centro,1
49,59.3,2912.19,1,0,95.41,1,1,2,24,0,anual,debito,movil,centro,0
15,58.81,973.95,0,1,164.8,1,1,1,57,0,mensual,credito,fibra,norte,1
1,84.79,188.9,1,0,190.83,1,0,3,71,1,mensual,credito,cable,centro,1
30,84.03,2565.85,3,0,5.0,1,0,1,59,0,bianual,credito,movil,centro,0
58,82.85,4859.67,1,0,97.98,1,0,3,53,1,mensual,efectivo,cable,sur,0
65,38.82,2533.69,1,0,71.93,0,1,4,77,0,anual,debito,cable,centro,0
60,38.87,2514.42,1,0,166.94,1,0,4,50,0,anual,debito,cable,norte,0
55,58.31,3068.2,2,0,127.96,1,0,3,36,0,bianual,debito,cable,norte,0
11,46.38,541.91,0,1,125.53,1,1,3,22,1,bianual,debito,cable,centro,0
9,53.04,556.7,2,1,220.08,1,0,4,46,0,anual,debito,ninguno,centro,0
69,35.04,2526.42,0,0,98.95,1,1,1,50,0,mensual,debito,cable,oeste,0
12,60.23,819.01,3,1,88.32,1,1,3,45,1,mensual,transferencia,fibra,sur,1
2,46.17,50.0,1,0,203.27,1,0,4,57,1,anual,efectivo,cable,centro,1
1,63.65,76.79,2,2,262.48,1,1,4,22,1,mensual,efectivo,fibra,oeste,1
55,71.68,3690.42,1,0,177.45,0,0,3,64,1,anual,transferencia,movil,norte,0
56,55.37,3317.82,3,1,149.71,1,0,4,76,0,anual,debito,cable,centro,0
2,79.72,235.56,1,0,75.36,1,1,1,32,0,bianual,transferencia,fibra,centro,0
2,56.95,155.54,2,1,190.62,0,1,2,27,0,mensual,debito,movil,oeste,1
4,63.82,343.67,1,5,31.7,1,1,4,51,1,mensual,credito,movil,centro,1
12,74.41,664.29,2,0,170.91,0,1,1,47,0,mensual,transferencia,movil,centro,1
44,86.59,3925.31,0,1,99.17,1,1,3,40,1,anual,debito,fibra,centro,0
44,73.29,3298.24,1,2,111.14,1,0,4,78,0,mensual,credito,fibra,oeste,0
59,45.96,2913.58,0,0,126.44,1,1,2,58,0,bianual,debito,fibra,centro,0
37,74.97,2577.77,1,1,165.65,0,1,2,35,1,mensual,efectivo,fibra,norte,0
53,70.16,3668.25,1,0,119.75,1,0,2,76,0,anual,credito,fibra,norte,1
22,29.41,723.21,0,0,61.65,0,1,4,76,1,bianual,efectivo,movil,centro,0
6,92.69,650.41,0,0,5.0,0,1,2,43,1,mensual,debito,cable,centro,1
67,68.72,4731.05,1,0,135.48,0,1,2,61,1,bianual,credito,cable,centro,0
53,74.21,3941.7,2,0,44.83,1,0,3,30,0,mensual,credito,fibra,centro,0
43,108.02,4658.47,0,0,130.63,1,1,4,29,0,mensual,debito,fibra,centro,0
14,43.68,516.98,0,3,143.45,1,1,1,19,0,mensual,credito,fibra,centro,1
68,55.71,3623.43,1,0,198.61,0,1,3,55,0,mensual,credito,cable,sur,1
72,65.74,4805.75,3,1,178.34,0,0,4,41,0,mensual,debito,fibra,sur,0
16,80.24,1301.8,3,0,167.52,1,0,4,44,1,anual,credito,fibra,sur,0
67,67.22,4595.69,0,1,141.04,1,1,4,63,1,mensual,debito,cable,centro,0
9,65.1,513.44,2,1,213.7,1,0,4,35,0,anual,debito,movil,norte,0
46,28.58,1343.1,1,0,143.83,0,0,2,62,0,anual,credito,fibra,centro,1
8,57.04,296.7,0,0,144.68,0,0,4,23,0,bianual,transferencia,fibra,oeste,0
44,63.43,3062.79,3,0,9.92,1,1,3,57,1,mensual,credito,cable,sur,1
14,59.31,1084.1,1,0,123.1,0,0,3,60,1,bianual,debito,cable,oeste,0
57,51.34,2819.04,3,1,118.38,1,0,4,28,0,anual,transferencia,fibra,norte,1
11,82.46,973.57,6,2,105.67,0,1,4,38,0,mensual,credito,fibra,norte,1
5,74.3,458.32,0,1,51.4,1,0,4,20,0,mensual,debito,ninguno,centro,1
15,38.7,607.08,6,0,114.59,1,1,2,27,1,mensual,debito,movil,oeste,0
50,81.55,4134.78,3,0,135.15,1,0,3,22,0,mensual,debito,fibra,centro,1
29,56.66,1912.02,2,1,202.38,1,1,2,44,1,anual,credito,cable,oeste,0
65,92.5,5945.46,1,0,143.69,1,0,1,51,1,bianual,credito,cable,sur,0
57,41.97,2342.66,3,1,124.04,1,0,1,32,1,anual,transferencia,cable,sur,0
33,61.48,1942.13,5,1,72.02,1,1,2,31,1,mensual,credito,fibra,oeste,0
58,75.04,4318.1,1,1,128.91,1,0,4,76,0,anual,efectivo,cable,oeste,0
19,63.85,1411.01,3,1,127.02,0,1,3,50,0,mensual,debito,fibra,centro,0
56,53.81,3222.86,1,0,80.52,1,0,4,74,0,mensual,efectivo,fibra,sur,1
51,55.28,2678.07,2,1,121.49,1,1,3,58,1,mensual,credito,movil,oeste,1
68,51.49,3526.7,1,0,98.05,0,0,3,70,0,anual,efectivo,cable,norte,0
58,48.02,2906.93,4,0,101.12,1,1,3,58,0,mensual,efectivo,fibra,sur,0
26,68.68,1846.05,0,2,88.41,1,1,1,35,0,bianual,debito,fibra,sur,0
17,70.9,1236.83,2,2,95.62,0,1,4,69,0,anual,debito,ninguno,sur,0
12,90.91,1053.03,1,0,169.88,1,1,2,54,0,bianual,debito,movil,oeste,0
12,38.64,473.45,1,1,57.38,1,1,2,67,0,mensual,debito,fibra,centro,0
6,47.75,150.28,2,0,70.8,1,1,1,27,0,mensual,credito,ninguno,sur,1
45,64.46,2861.66,0,1,128.64,1,1,1,35,0,anual,credito,movil,oeste,0
39,92.85,3659.71,2,1,126.2,1,1,3,31,0,anual,credito,movil,centro,0
14,75.53,1203.88,0,0,105.32,0,0,4,47,0,mensual,debito,movil,oeste,1
20,69.4,1554.91,0,1,211.3,0,0,3,23,0,mensual,efectivo,ninguno,centro,0
48,78.84,3864.31,3,2,93.6,1,1,4,73,1,bianual,efectivo,movil,centro,1
9,56.93,553.29,4,3,75.34,0,0,4,62,0,anual,transferencia,fibra,oeste,1
29,15.0,359.2,3,0,69.39,0,1,2,51,1,mensual,credito,cable,sur,0
57,75.93,4342.09,1,0,215.05,0,0,4,46,0,bianual,debito,movil,norte,0
38,95.99,3777.26,4,0,212.09,1,0,4,73,1,bianual,efectivo,fibra,sur,0
56,51.02,2822.41,5,0,55.9,1,1,3,39,0,mensual,credito,cable,oeste,1
8,39.39,420.13,0,1,171.45,1,0,3,66,0,anual,debito,movil,oeste,0
28,37.53,851.99,1,0,118.17,0,0,2,74,0,mensual,efectivo,cable,sur,1
12,71.05,960.39,2,0,184.01,1,1,2,78,0,bianual,credito,ninguno,centro,0
31,91.73,2692.4,3,1,138.43,1,0,3,41,0,anual,debito,fibra,centro,1
47,83.65,3955.33,1,1,103.76,0,1,1,69,1,mensual,credito,fibra,norte,0
16,70.37,1109.46,2,0,68.52,1,1,2,51,0,mensual,debito,movil,centro,1
41,80.96,3256.02,1,1,123.6,1,0,4,76,0,mensual,transferencia,ninguno,centro,1
3,72.87,53.5,1,0,72.42,0,1,2,51,0,mensual,debito,cable,sur,1
13,87.12,1049.64,1,0,72.18,1,1,2,43,1,mensual,credito,cable,centro,0
8,82.69,733.86,1,0,146.69,1,1,4,68,0,mensual,credito,movil,norte,1
7,48.95,245.27,1,0,96.48,1,1,2,42,1,mensual,debito,movil,oeste,1
35,60.05,2159.84,3,0,49.65,1,0,4,45,0,bianual,debito,fibra,centro,0
28,84.88,2361.24,0,1,106.59,0,1,3,50,0,anual,debito,movil,centro,1
60,74.52,4496.07,3,2,146.99,1,1,2,76,0,mensual,transferencia,fibra,sur,0
59,66.46,3782.17,3,0,144.59,1,1,3,43,1,mensual,debito,fibra,oeste,1
13,68.8,738.69,3,0,89.47,1,0,1,21,1,mensual,debito,cable,sur,0
48,40.29,1951.46,0,1,175.32,0,0,4,37,1,anual,debito,fibra,centro,0
38,109.03,4236.9,1,1,128.39,1,1,2,20,0,bianual,debito,fibra,sur,0
51,100.45,5131.35,1,0,12.91,1,1,1,64,0,mensual,credito,cable,norte,0
9,43.61,327.66,1,1,155.28,1,1,2,25,1,mensual,debito,fibra,norte,1
36,66.62,2277.3,1,2,161.81,0,0,3,68,1,mensual,debito,fibra,sur,0
23,73.85,1658.05,0,0,65.3,1,0,3,43,0,anual,credito,fibra,sur,0
16,61.62,876.97,1,1,164.04,1,1,2,60,1,anual,debito,fibra,centro,0
69,66.54,4379.87,2,0,21.16,1,0,2,25,1,anual,debito,ninguno,sur,0
23,62.92,1399.2,2,0,167.82,1,0,2,41,1,mensual,transferencia,fibra,norte,0
5,57.06,350.4,3,1,126.2,1,1,4,78,0,anual,transferencia,movil,norte,1
69,61.57,4148.36,1,1,34.1,1,1,2,68,0,mensual,credito,fibra,centro,0
54,77.42,4221.78,0,0,73.01,1,0,2,57,0,anual,transferencia,fibra,norte,0
69,78.07,5414.51,2,2,98.05,1,1,4,49,1,mensual,credito,movil,oeste,0
36,68.14,2512.29,2,0,122.32,1,0,2,51,0,bianual,debito,ninguno,oeste,0
56,66.86,3625.86,0,3,167.47,0,1,2,55,0,mensual,debito,cable,oeste,1
35,51.5,1789.1,0,1,84.13,1,1,1,73,0,bianual,debito,cable,norte,0
29,63.82,1717.27,1,0,71.82,0,0,3,55,0,mensual,credito,fibra,norte,1
55,53.27,2934.25,0,1,112.57,0,1,2,63,1,mensual,debito,fibra,sur,0
28,65.17,1875.76,0,1,151.11,0,1,2,76,0,mensual,debito,fibra,sur,0
30,79.15,2599.62,2,4,111.62,0,0,4,26,1,mensual,credito,movil,oeste,1
63,71.1,4536.43,1,1,107.46,1,1,3,56,1,anual,credito,fibra,norte,0
3,45.64,189.49,2,0,67.04,1,1,1,65,0,mensual,debito,cable,norte,1
50,28.95,1440.93,2,0,46.83,1,1,3,69,1,anual,efectivo,fibra,sur,0
49,70.97,3473.72,2,0,114.34,0,1,2,73,1,mensual,debito,fibra,norte,1
64,37.27,2470.23,3,0,134.89,1,0,3,78,1,mensual,credito,cable,sur,0
5,59.54,472.4,1,2,104.72,1,1,1,47,1,bianual,credito,cable,centro,0
61,67.49,4092.96,0,1,195.7,0,0,2,57,1,mensual,transferencia,movil,oeste,0
1,90.9,320.09,3,1,157.36,1,0,4,45,0,anual,credito,fibra,sur,0
29,66.84,2092.88,4,2,196.74,1,0,2,76,0,mensual,transferencia,fibra,centro,1
68,55.09,3985.63,3,0,52.96,0,1,3,49,1,mensual,efectivo,movil,centro,0
18,60.41,1286.09,2,1,155.36,1,0,1,23,1,mensual,debito,fibra,oeste,0
13,100.9,1309.72,0,0,146.02,1,0,3,35,0,bianual,transferencia,ninguno,centro,0
40,49.87,2020.37,0,5,193.29,1,1,1,35,1,mensual,credito,fibra,norte,0
66,116.22,7723.73,4,1,123.6,1,0,4,67,1,anual,debito,movil,norte,0
68,79.36,5501.99,1,1,230.13,1,0,1,41,1,bianual,debito,movil,centro,0
35,80.23,2962.52,3,1,122.69,1,1,4,65,0,mensual,debito,movil,oeste,1
13,15.0,50.0,0,0,88.63,0,1,4,61,0,mensual,efectivo,cable,sur,0
44,47.94,2152.26,0,1,114.92,1,0,3,76,0,anual,transferencia,movil,centro,0
10,85.21,927.7,0,0,169.98,1,0,4,38,1,mensual,credito,cable,sur,1
41,66.34,2753.55,3,0,57.07,1,1,4,58,0,bianual,transferencia,movil,sur,0
12,45.64,520.85,0,0,96.79,1,0,4,35,0,mensual,debito,ninguno,norte,0
62,86.25,5282.94,2,2,137.14,1,1,4,76,1,mensual,transferencia,movil,centro,1
14,56.42,809.27,2,1,142.6,1,0,2,54,0,anual,credito,fibra,sur,0
10,65.77,549.28,2,0,116.71,1,0,3,23,0,anual,credito,cable,sur,0
71,64.34,4475.24,1,0,73.89,1,0,2,73,0,mensual,debito,fibra,centro,1
32,46.91,1621.18,1,0,94.95,0,1,3,37,0,mensual,efectivo,fibra,centro,0
5,54.57,235.32,2,0,21.03,0,1,2,21,1,anual,transferencia,fibra,norte,0
58,83.47,4988.18,0,0,227.41,1,1,3,54,1,anual,efectivo,cable,centro,0
72,29.92,2228.23,1,1,162.53,1,1,2,19,0,mensual,transferencia,fibra,sur,0
26,73.18,2017.25,0,1,151.6,0,0,2,78,0,anual,debito,ninguno,sur,1
50,76.09,3834.84,3,0,194.55,0,1,2,21,0,bianual,credito,cable,norte,0
16,54.1,855.57,2,2,126.55,1,1,1,38,0,mensual,credito,movil,norte,1
40,89.29,3568.85,3,0,78.68,1,0,3,78,0,anual,credito,ninguno,sur,0
33,53.46,1771.54,1,1,117.34,1,1,3,57,0,mensual,efectivo,fibra,oeste,1
54,67.58,3551.12,1,1,38.68,0,1,1,61,1,anual,debito,fibra,centro,0
21,58.99,1269.73,3,0,155.77,1,0,4,26,0,anual,debito,ninguno,norte,0
41,65.83,2648.08,1,2,171.46,1,0,4,23,0,bianual,debito,fibra,norte,0
32,49.42,1546.95,0,1,155.71,1,0,4,27,1,mensual,credito,fibra,oeste,1
28,51.12,1157.49,1,0,103.05,1,1,2,20,0,mensual,debito,cable,norte,0
14,79.56,1047.17,1,0,172.89,1,1,2,31,1,mensual,credito,fibra,centro,1
42,51.57,2150.31,3,1,73.94,1,0,2,18,0,mensual,transferencia,fibra,norte,0
1,66.16,50.0,0,1,124.9,1,0,4,77,0,anual,debito,cable,sur,0
70,112.28,7793.98,2,0,53.81,0,0,2,47,0,mensual,credito,fibra,norte,0
21,58.93,1144.16,1,1,152.84,0,1,3,29,1,bianual,transferencia,cable,oeste,0
42,76.94,3294.05,1,0,40.73,1,0,1,20,0,mensual,debito,fibra,centro,0
30,90.43,2669.8,1,1,157.39,1,1,3,22,0,mensual,efectivo,fibra,sur,0
11,49.23,552.59,1,0,178.0,1,0,3,24,0,mensual,transferencia,cable,norte,1
21,69.96,1652.99,0,2,192.67,0,1,3,64,0,mensual,debito,fibra,centro,0
28,40.78,1273.62,3,2,180.17,0,0,4,21,0,bianual,transferencia,fibra,centro,0
53,87.9,4966.46,1,0,147.73,0,1,3,58,1,anual,debito,cable,centro,0
7,36.98,194.52,1,0,129.42,0,0,2,46,1,mensual,transferencia,fibra,centro,1
66,79.25,5185.43,2,1,119.79,1,1,4,63,0,bianual,debito,movil,centro,0
34,89.09,3081.33,1,0,172.33,1,0,3,53,0,mensual,debito,movil,sur,0
14,118.93,1610.98,4,0,91.65,1,0,3,28,0,mensual,credito,fibra,oeste,0
5,61.79,254.76,0,1,45.78,0,1,4,78,0,anual,debito,cable,norte,0
69,50.11,3730.46,0,1,212.49,1,1,4,18,0,mensual,transferencia,fibra,sur,0
12,79.31,1110.38,2,1,204.0,1,1,2,64,0,anual,debito,fibra,oeste,0
58,42.92,2508.69,1,1,200.15,0,0,3,33,0,mensual,debito,movil,norte,1
23,90.85,1934.89,3,1,135.83,1,1,2,36,0,mensual,transferencia,cable,centro,0
70,98.08,6896.47,4,2,132.32,1,1,4,50,1,mensual,transferencia,ninguno,centro,0
32,64.03,1976.96,2,1,107.07,1,1,3,67,1,mensual,debito,fibra,centro,0
58,39.4,2260.82,0,2,160.1,1,0,1,44,0,mensual,transferencia,cable,norte,1
53,51.21,2756.66,3,1,124.81,0,1,4,54,0,mensual,transferencia,fibra,centro,0
9,17.08,181.46,3,0,106.82,0,1,1,26,0,mensual,transferencia,cable,centro,0
59,72.68,4340.67,3,1,77.38,1,1,3,67,0,mensual,transferencia,cable,sur,0
16,82.53,1351.84,3,0,117.6,0,1,2,59,1,mensual,credito,cable,oeste,0
35,68.2,2267.79,2,0,147.51,1,0,1,71,0,anual,debito,cable,oeste,1
10,57.81,571.48,4,2,187.46,1,1,2,43,1,mensual,credito,fibra,centro,1
7,71.37,606.01,1,1,164.01,0,0,2,27,0,mensual,debito,ninguno,norte,0
52,54.46,3084.68,1,0,62.16,1,0,1,38,0,anual,debito,cable,norte,0
19,62.24,1173.72,0,1,139.45,1,0,1,68,1,mensual,credito,movil,centro,1
53,94.83,4949.04,1,1,98.18,0,1,4,30,0,anual,debito,fibra,centro,0
66,49.93,3192.24,0,2,149.63,1,0,4,69,0,mensual,credito,cable,centro,0
45,77.84,3380.99,3,1,105.11,1,1,2,57,1,mensual,debito,fibra,sur,0
30,73.14,2164.06,3,3,67.69,1,1,1,22,0,mensual,credito,cable,sur,1
24,71.34,1718.87,1,0,157.72,1,1,2,64,0,mensual,credito,cable,norte,0
38,71.38,2412.39,2,0,196.08,0,0,1,29,0,bianual,efectivo,fibra,sur,0
7,52.76,478.51,3,0,108.24,1,1,4,71,0,mensual,credito,movil,sur,1
28,59.53,1676.04,2,0,118.11,1,0,4,43,0,bianual,credito,ninguno,oeste,0
14,80.94,990.58,2,0,108.58,1,1,3,76,1,anual,transferencia,movil,centro,0
58,85.38,5011.91,1,0,140.86,1,1,4,38,0,anual,efectivo,cable,centro,0
34,62.52,2225.83,2,0,94.89,1,0,1,77,1,bianual,credito,cable,oeste,0
39,39.1,1668.7,4,2,145.08,0,1,3,48,0,mensual,debito,movil,sur,1
45,40.31,1971.71,1,1,91.36,1,0,4,43,0,anual,credito,cable,sur,0
25,69.48,1710.49,0,0,172.67,1,0,3,33,0,mensual,transferencia,fibra,sur,0
52,73.61,4135.46,2,0,128.09,0,1,4,55,0,anual,transferencia,ninguno,centro,1
20,73.03,1325.42,0,1,102.94,0,1,3,46,1,bianual,debito,cable,centro,0
30,65.68,2027.15,2,1,43.32,1,1,1,40,0,bianual,debito,fibra,centro,0
69,25.49,1716.84,4,1,51.26,1,0,4,50,0,mensual,credito,fibra,norte,1
9,76.08,658.58,1,1,86.0,0,0,3,59,1,bianual,debito,cable,norte,0
41,73.47,3040.38,3,0,67.33,0,1,2,51,0,mensual,credito,fibra,centro,1
7,70.42,621.43,2,2,111.97,1,0,2,40,1,mensual,credito,fibra,sur,1
19,75.44,1554.9,2,0,39.28,0,1,4,29,0,anual,debito,movil,oeste,0
52,49.82,2691.3,0,1,104.63,1,0,3,47,0,mensual,efectivo,fibra,centro,0
2,67.11,246.21,1,0,63.9,1,0,2,19,1,mensual,debito,cable,norte,0
42,68.2,2648.63,1,0,156.14,1,1,1,71,0,mensual,credito,cable,centro,0
19,74.15,1409.17,4,0,143.67,1,1,1,20,0,anual,debito,fibra,oeste,0
21,83.35,1804.88,2,4,78.49,0,1,4,50,1,anual,transferencia,fibra,oeste,0
36,89.3,3338.87,1,0,106.06,0,1,3,40,1,mensual,credito,movil,sur,1
63,48.44,3190.48,2,0,103.49,1,0,4,77,1,mensual,credito,fibra,centro,0
37,58.42,2113.85,1,1,188.57,1,0,1,67,1,mensual,credito,cable,sur,1
39,97.42,3979.76,1,0,81.81,1,1,2,66,0,mensual,debito,cable,oeste,0
2,57.08,302.71,2,0,105.19,1,0,2,27,0,mensual,credito,movil,norte,1
52,83.03,4156.8,3,1,101.73,1,0,1,74,1,mensual,credito,movil,oeste,1
18,67.74,1076.9,2,0,89.51,1,1,1,58,0,mensual,credito,fibra,centro,0
37,67.63,2571.06,2,0,136.06,1,0,1,69,1,mensual,credito,fibra,centro,1
26,115.66,2928.59,3,0,82.71,1,0,2,41,0,anual,credito,fibra,sur,0
70,78.07,5514.11,2,2,102.46,1,1,1,48,1,anual,debito,fibra,centro,0
